랭킹,종목명(ticker),날짜,score,top3 피쳐그룹
1,Unknown(15760),2023-01-02,0.0619107710227677,"news,profitability,other"
2,SK(34730),2023-01-02,0.0654388006383644,"technical,news,value"
3,현대차(5380),2023-01-02,0.0507835287286813,"news,other,value"
4,Unknown(36460),2023-01-02,0.0308629604965502,"news,other,profitability"
5,현대모비스(12330),2023-01-02,0.033375874447816,"news,value,technical"
6,Unknown(1040),2023-01-02,0.0335447761257296,"technical,news,other"
7,Unknown(97950),2023-01-02,0.0323817648926851,"other,profitability,value"
8,Unknown(17670),2023-01-02,0.0338574516261566,"news,technical,profitability"
9,태광산업(3240),2023-01-02,0.0353770713367903,"news,technical,other"
10,Unknown(30200),2023-01-02,0.0298080192524405,"technical,news,other"
11,Unknown(30000),2023-01-02,0.0289714662549776,"technical,other,value"
12,Unknown(4370),2023-01-02,0.0306971580729622,"news,technical,other"
13,Unknown(28260),2023-01-02,0.0312904441019993,"news,value,profitability"
14,에스디바이오센서(137310),2023-01-02,0.0309604134749564,"profitability,technical,other"
15,Unknown(35250),2023-01-02,0.0317359930419983,"technical,news,other"
16,두산밥캣(241560),2023-01-02,0.0295504716784486,"technical,profitability,other"
17,Unknown(29780),2023-01-02,0.0283180250490062,"technical,news,other"
18,Unknown(32640),2023-01-02,0.0286542345768094,"technical,news,other"
19,Unknown(100),2023-01-02,0.0248152711288098,"technical,news,other"
20,Unknown(240),2023-01-02,0.0246986499887084,"technical,other,value"
1,Unknown(15760),2023-01-03,0.0721627723623239,"profitability,technical,news"
2,SK(34730),2023-01-03,0.069033348808304,"news,technical,value"
3,현대차(5380),2023-01-03,0.0470029107619507,"news,value,other"
4,현대모비스(12330),2023-01-03,0.0353786350354615,"news,value,technical"
5,Unknown(30000),2023-01-03,0.0332647538924642,"technical,news,other"
6,Unknown(97950),2023-01-03,0.0337408054337886,"technical,news,other"
7,Unknown(1040),2023-01-03,0.0338644334069935,"technical,other,value"
8,Unknown(36460),2023-01-03,0.0278720591825164,"news,technical,profitability"
9,Unknown(17670),2023-01-03,0.0341121166095961,"technical,profitability,value"
10,Unknown(100),2023-01-03,0.0310346407040058,"technical,value,profitability"
11,Unknown(28260),2023-01-03,0.032910929545157,"news,value,profitability"
12,에스디바이오센서(137310),2023-01-03,0.0308359881463581,"technical,profitability,other"
13,Unknown(32640),2023-01-03,0.0301094129125602,"news,technical,other"
14,태광산업(3240),2023-01-03,0.0316391187620792,"technical,profitability,other"
15,Unknown(30200),2023-01-03,0.0261854233994216,"technical,profitability,news"
16,Unknown(4370),2023-01-03,0.0286481111767351,"technical,other,value"
17,Unknown(240),2023-01-03,0.0265763850246987,"technical,other,value"
18,Unknown(29780),2023-01-03,0.0284690219629377,"technical,other,profitability"
19,두산밥캣(241560),2023-01-03,0.0291543242687352,"technical,other,profitability"
20,Unknown(35250),2023-01-03,0.0305588932749742,"technical,news,other"
1,Unknown(15760),2023-01-04,0.0618697776106956,"profitability,technical,value"
