랭킹,종목명(ticker),날짜,score,top3 피쳐그룹
1,SK(34730),2023-01-02,0.0660048494221463,"value,esg,technical"
2,현대차(5380),2023-01-02,0.0506232296352572,"value,esg,profitability"
3,Unknown(35250),2023-01-02,0.0329910506482855,"technical,value,news"
4,태광산업(3240),2023-01-02,0.0356358199263402,"technical,value,news"
5,에스디바이오센서(137310),2023-01-02,0.0312559964489439,"profitability,value,technical"
6,두산밥캣(241560),2023-01-02,0.0295887672074443,"technical,profitability,value"
7,Unknown(4370),2023-01-02,0.0309269846372698,"value,profitability,technical"
8,현대모비스(12330),2023-01-02,0.0332664729648919,"profitability,technical,esg"
9,Unknown(1040),2023-01-02,0.0336198121883662,"esg,technical,value"
10,Unknown(17670),2023-01-02,0.0342817854600199,"technical,value,profitability"
11,Unknown(29780),2023-01-02,0.0284547806376914,"technical,esg,news"
12,Unknown(28260),2023-01-02,0.031548766501004,"technical,profitability,news"
13,Unknown(32640),2023-01-02,0.0287007046710819,"esg,technical,news"
14,Unknown(30200),2023-01-02,0.0298193808275071,"technical,news,value"
15,Unknown(97950),2023-01-02,0.0338876108466994,"technical,value,profitability"
16,Unknown(30000),2023-01-02,0.0302250035809909,"technical,value,profitability"
17,Unknown(240),2023-01-02,0.025329902497832,"value,technical,profitability"
18,Unknown(100),2023-01-02,0.0256010475925144,"value,esg,news"
19,Unknown(36460),2023-01-02,0.0303274316997116,"value,technical,profitability"
20,Unknown(15760),2023-01-02,0.073414614216803,"profitability,value,technical"
1,SK(34730),2023-01-03,0.0692884825328385,"value,technical,profitability"
2,현대차(5380),2023-01-03,0.047225989200783,"value,esg,profitability"
3,Unknown(35250),2023-01-03,0.0306413352930511,"technical,value,news"
4,현대모비스(12330),2023-01-03,0.03441314389915,"profitability,value,technical"
5,Unknown(28260),2023-01-03,0.0327396348477957,"esg,technical,profitability"
6,에스디바이오센서(137310),2023-01-03,0.0307133713406477,"profitability,value,technical"
7,Unknown(32640),2023-01-03,0.0299196109082894,"technical,profitability,value"
8,Unknown(1040),2023-01-03,0.033495145807955,"technical,value,profitability"
9,Unknown(17670),2023-01-03,0.0341198802152043,"technical,value,profitability"
10,두산밥캣(241560),2023-01-03,0.0287304617304738,"technical,profitability,value"
11,Unknown(100),2023-01-03,0.0305639449783773,"value,profitability,technical"
12,Unknown(29780),2023-01-03,0.028258354924853,"technical,profitability,value"
13,태광산업(3240),2023-01-03,0.0314623855582546,"technical,value,profitability"
14,Unknown(4370),2023-01-03,0.028536867174191,"value,profitability,technical"
15,Unknown(30000),2023-01-03,0.0325541890595574,"technical,value,news"
16,Unknown(97950),2023-01-03,0.0344020070081268,"technical,news,value"
17,Unknown(240),2023-01-03,0.0266923494393942,"value,technical,profitability"
18,Unknown(30200),2023-01-03,0.0267046509037645,"technical,news,value"
19,Unknown(36460),2023-01-03,0.0287783496058337,"value,technical,profitability"
20,Unknown(15760),2023-01-03,0.0722831113936342,"profitability,value,technical"
1,SK(34730),2023-01-04,0.0698105128004059,"value,technical,profitability"
2,Unknown(35250),2023-01-04,0.0293544337624859,"technical,value,profitability"
3,Unknown(32640),2023-01-04,0.0318307888376246,"technical,profitability,news"
4,현대차(5380),2023-01-04,0.0444120696167813,"value,esg,technical"
5,태광산업(3240),2023-01-04,0.0345444154747608,"technical,value,news"
6,두산밥캣(241560),2023-01-04,0.0293277388523807,"technical,profitability,value"
7,Unknown(28260),2023-01-04,0.030679001522659,"profitability,value,technical"
8,에스디바이오센서(137310),2023-01-04,0.0285783614297348,"profitability,value,technical"
9,현대모비스(12330),2023-01-04,0.031199352203489,"profitability,technical,value"
10,Unknown(30000),2023-01-04,0.0328273427773115,"technical,value,profitability"
11,Unknown(17670),2023-01-04,0.0318559621031703,"technical,value,profitability"
12,Unknown(1040),2023-01-04,0.0307717367161567,"value,technical,profitability"
13,Unknown(4370),2023-01-04,0.0273458614806871,"value,esg,profitability"
14,Unknown(100),2023-01-04,0.0274988456012916,"technical,value,profitability"
15,Unknown(30200),2023-01-04,0.0275413161759775,"esg,technical,news"
16,Unknown(97950),2023-01-04,0.0334728328531309,"technical,value,profitability"
17,Unknown(29780),2023-01-04,0.0244482364738323,"technical,profitability,value"
18,Unknown(240),2023-01-04,0.0251648718440427,"value,technical,profitability"
19,Unknown(36460),2023-01-04,0.029933487463522,"value,technical,profitability"
20,Unknown(15760),2023-01-04,0.0732249699482288,"profitability,value,technical"
1,SK(34730),2023-01-05,0.0606513294778643,"value,technical,news"
2,Unknown(35250),2023-01-05,0.0359283732199575,"technical,value,news"
3,현대차(5380),2023-01-05,0.0477723609279453,"value,technical,profitability"
4,태광산업(3240),2023-01-05,0.0359222956426588,"technical,value,profitability"
5,Unknown(29780),2023-01-05,0.0300397266959668,"technical,profitability,value"
6,두산밥캣(241560),2023-01-05,0.0298645617713868,"technical,profitability,value"
7,Unknown(4370),2023-01-05,0.0313199220645725,"value,news,technical"
8,Unknown(28260),2023-01-05,0.0324120181691998,"esg,profitability,news"
