ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features
1,15760,2023-01-31,0.166439874813407,-0.022692742,0.0718735664067035,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
2,34730,2023-01-31,0.04794193227391941,0.07036185,0.059151891136959706,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,5380,2023-01-31,0.04838114416377989,0.04199804,0.04518959208188995,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
4,3240,2023-01-31,0.035093501355152275,0.03608062,0.03558706067757614,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe"
5,97950,2023-01-31,0.051773712994902875,0.026499487,0.039136599997451435,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
6,17670,2023-01-31,0.04113149063068753,0.031744108,0.036437799315343765,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
7,1040,2023-01-31,0.03879056635013764,0.028814899,0.03380273267506882,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,28260,2023-01-31,0.03678523665917802,0.032075923,0.03443057982958901,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,12330,2023-01-31,0.039707948493871624,0.027709099,0.03370852374693581,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
10,30000,2023-01-31,0.04269765628053708,0.024034575,0.03336611564026854,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
11,32640,2023-01-31,0.028356083809952838,0.03180869,0.03008238690497642,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,4370,2023-01-31,0.03001762028486244,0.03039706,0.03020734014243122,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
13,241560,2023-01-31,0.029847440902760224,0.033333544,0.03159049245138011,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
