feature,ic_with_prediction,rank_ic_with_prediction,ic_with_target,rank_ic_with_target,n_dates
volatility_60d,-0.3204165927447048,-0.3694116772498472,-0.04564652408620265,-0.08873286841185062,1800
volatility_20d,-0.3197798533069647,-0.3885138914711195,-0.043122125878111546,-0.07784911757075397,1800
volatility,-0.3197798533069647,-0.3885138914711195,-0.043122125878111546,-0.07784911757075397,1800
total_liabilities,0.16330592762020524,0.14996540338961403,0.012265385826986505,0.06706785118292342,1800
equity,0.38019316226262445,0.2237002242851518,0.01909783162963353,0.06205614369353993,1800
downside_volatility_60d,-0.14639214945408274,-0.18610390026715018,-0.02349626210633572,-0.060819733568415954,1800
max_drawdown_60d,0.09135813705059352,0.09283894200963062,0.023522265920260875,0.04999551972906636,1800
close,-0.16864159930526088,-0.14707282750077078,-0.04030018171839131,-0.049632974195893895,1800
high,-0.16743546270211412,-0.14635742676523272,-0.040477415664384495,-0.04906736076441878,1800
open,-0.16527275067678787,-0.1435082183049959,-0.0402066089865562,-0.0483970564618789,1800
low,-0.1635740914604537,-0.14201496420209442,-0.03999972188948591,-0.04785757159333314,1800
price_momentum_60d,-0.31350615376042307,-0.32978140679519496,-0.02195706244426343,-0.030630916463056393,1800
volume,0.26243927663625544,0.09887809022976242,0.007220384927970867,0.030170817620815162,1800
momentum_3m,-0.3555357890754049,-0.36019791962885334,-0.020843215609603314,-0.028962704649618885,1800
roe,-0.1169080417833472,-0.07987172604167092,-0.031584943831903065,-0.02409583534990585,1800
price_momentum_20d,-0.25871314690553504,-0.30699013115541207,-0.017113045405608495,-0.022296094991655243,1800
momentum_rank,-0.2306343024480421,-0.30699013115541207,-0.009689033786641078,-0.022296094991655243,1800
price_momentum,-0.25871314690553504,-0.30699013115541207,-0.017113045405608495,-0.022296094991655243,1800
net_income,0.3390446672241455,0.10679693865849764,0.010423101970896862,0.02094881123141362,1800
momentum_reversal,0.04030093542345907,-0.10258588544339795,0.017242198325942096,0.020193950237286908,1800
roe_sector_z,-0.10197561364662286,-0.06569889323479013,-0.037903246447141374,-0.018158164782884352,1800
debt_ratio,-0.08086128817596995,-0.08251262951877071,0.007462983542382852,0.017518636583828837,1800
momentum_6m,-0.32720882794005546,-0.31268371527587735,-0.00623237330662895,-0.01592169427249414,1780
volume_ratio,-0.01843521467845615,0.004675632377575951,-0.002291039718566024,0.0136186840740666,1800
turnover,0.22991312347460172,-0.02111283388086555,-0.0007975026826118202,-0.010278018312567099,1800
debt_ratio_sector_z,-0.08881086501632246,-0.10062439601490472,0.00992388484833775,0.0035964387914254087,1800
ret_daily,-0.07747714800782222,-0.06902315307145986,-0.004306927239900778,-0.003112659316394459,1800
in_universe,0.0,-8.818118518524029e-18,0.0,-7.093827355013967e-18,0
